UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q93100	PHKB	Phosphorylase b kinase regulatory subunit beta
UniProtKB:Q9NR97	TLR8	Toll-like receptor 8
UniProtKB:P20160	AZU1	Azurocidin
UniProtKB:P35968	KDR	Vascular endothelial growth factor receptor 2
UniProtKB:P15498	VAV1	Proto-oncogene vav
UniProtKB:Q9ULV1	FZD4	Frizzled-4
UniProtKB:Q9UM73	ALK	ALK tyrosine kinase receptor
UniProtKB:Q9ULV4	CORO1C	Coronin-1C
UniProtKB:Q9ULV8	CBLC	E3 ubiquitin-protein ligase CBL-C
UniProtKB:Q9ULW2	FZD10	Frizzled-10
UniProtKB:P35916	FLT4	Vascular endothelial growth factor receptor 3
UniProtKB:P54646	PRKAA2	5'-AMP-activated protein kinase catalytic subunit alpha-2
UniProtKB:P54652	HSPA2	Heat shock-related 70 kDa protein 2
UniProtKB:Q6P3W7	SCYL2	SCY1-like protein 2
UniProtKB:Q9ULZ3	PYCARD	Apoptosis-associated speck-like protein containing a CARD
UniProtKB:Q9NP95	FGF20	Fibroblast growth factor 20
UniProtKB:P35222	CTNNB1	Catenin beta-1
UniProtKB:O96000	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
UniProtKB:Q07889	SOS1	Son of sevenless homolog 1
UniProtKB:Q07869	PPARA	Peroxisome proliferator-activated receptor alpha
UniProtKB:Q08499	PDE4D	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
UniProtKB:Q13148	TARDBP	TAR DNA-binding protein 43
UniProtKB:P50148	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha
UniProtKB:A6NIY4	SPDYE5	Putative speedy protein E5
UniProtKB:Q96QS6	PSKH2	Serine/threonine-protein kinase H2
UniProtKB:Q07812	BAX	Apoptosis regulator BAX
UniProtKB:P13591	NCAM1	Neural cell adhesion molecule 1
UniProtKB:Q13191	CBLB	E3 ubiquitin-protein ligase CBL-B
UniProtKB:P14416	DRD2	D(2) dopamine receptor
UniProtKB:P56524	HDAC4	Histone deacetylase 4
UniProtKB:L7N484	SGK494	Uncharacterized serine/threonine-protein kinase SgK494
UniProtKB:Q02297	NRG1	Pro-neuregulin-1, membrane-bound isoform
UniProtKB:P08887	IL6R	Interleukin-6 receptor subunit alpha
UniProtKB:P13521	SCG2	Secretogranin-2
UniProtKB:P13501	CCL5	C-C motif chemokine 5
UniProtKB:P13500	CCL2	C-C motif chemokine 2
UniProtKB:Q18PE1	DOK7	Protein Dok-7
UniProtKB:Q9UPZ9	ICK	Serine/threonine-protein kinase ICK
UniProtKB:Q02224	CENPE	Centromere-associated protein E
UniProtKB:Q02221	COX6A2	Cytochrome c oxidase subunit 6A2, mitochondrial
UniProtKB:O14595	CTDSP2	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2
UniProtKB:Q02218	OGDH	2-oxoglutarate dehydrogenase, mitochondrial
UniProtKB:Q9BTX1	NDC1	Nucleoporin NDC1
UniProtKB:Q8N9M5	TMEM102	Transmembrane protein 102
UniProtKB:P30039	PBLD	Phenazine biosynthesis-like domain-containing protein
UniProtKB:Q9NSE2	CISH	Cytokine-inducible SH2-containing protein
UniProtKB:P13945	ADRB3	Beta-3 adrenergic receptor
UniProtKB:P30305	CDC25B	M-phase inducer phosphatase 2
UniProtKB:P13929	ENO3	Beta-enolase
UniProtKB:Q14012	CAMK1	Calcium/calmodulin-dependent protein kinase type 1
UniProtKB:O15335	CHAD	Chondroadherin
UniProtKB:P35590	TIE1	Tyrosine-protein kinase receptor Tie-1
UniProtKB:Q14004	CDK13	Cyclin-dependent kinase 13
UniProtKB:O14986	PIP5K1B	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta
UniProtKB:O14976	GAK	Cyclin-G-associated kinase
UniProtKB:Q9BPZ7	MAPKAP1	Target of rapamycin complex 2 subunit MAPKAP1
UniProtKB:P40225	THPO	Thrombopoietin
UniProtKB:P35568	IRS1	Insulin receptor substrate 1
UniProtKB:O14964	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate
UniProtKB:P15090	FABP4	Fatty acid-binding protein, adipocyte
UniProtKB:P35557	GCK	Glucokinase
RNAcentral:URS00001F1DA8_9606	URS00001F1DA8_9606	Homo sapiens (human) microRNA hsa-miR-126-3p
RNAcentral:URS000013D17D_9606	URS000013D17D_9606	Homo sapiens (human) microRNA hsa-miR-19b-3p
RNAcentral:URS00005C2A6D_9606	URS00005C2A6D_9606	Homo sapiens (human) microRNA hsa-miR-143-3p
RNAcentral:URS0000605E00_9606	URS0000605E00_9606	Homo sapiens (human) microRNA hsa-miR-181b-5p
RNAcentral:URS00003DA300_9606	URS00003DA300_9606	Homo sapiens (human) microRNA hsa-miR-181a-5p
RNAcentral:URS00002C6949_9606	URS00002C6949_9606	Homo sapiens (human) microRNA hsa-miR-222-3p
RNAcentral:URS000032BD73_9606	URS000032BD73_9606	Homo sapiens (human) microRNA hsa-miR-133b
RNAcentral:URS0000527F89_9606	URS0000527F89_9606	Homo sapiens (human) microRNA hsa-miR-145-5p
RNAcentral:URS00005165DA_9606	URS00005165DA_9606	Homo sapiens (human) microRNA hsa-miR-30b-5p
RNAcentral:URS00003768C5_9606	URS00003768C5_9606	Homo sapiens (human) microRNA hsa-miR-92a-3p
RNAcentral:URS00003B95DA_9606	URS00003B95DA_9606	Homo sapiens (human) microRNA hsa-miR-27a-3p
RNAcentral:URS0000236310_9606	URS0000236310_9606	Homo sapiens (human) microRNA hsa-miR-181d-5p
RNAcentral:URS00004DC6C5_9606	URS00004DC6C5_9606	Homo sapiens (human) hsa-miR-711.
RNAcentral:URS00001DC04F_9606	URS00001DC04F_9606	Homo sapiens (human) microRNA hsa-miR-1-3p
RNAcentral:URS000039ED8D_9606	URS000039ED8D_9606	Homo sapiens (human) microRNA hsa-miR-21-5p
RNAcentral:URS0000324096_9606	URS0000324096_9606	Homo sapiens (human) microRNA hsa-let-7b-5p
RNAcentral:URS000006FDD4_9606	URS000006FDD4_9606	Homo sapiens (human) microRNA hsa-miR-19a-3p
RNAcentral:URS0000170CF4_9606	URS0000170CF4_9606	Homo sapiens (human) microRNA hsa-miR-221-3p
RNAcentral:URS00004C9052_9606	URS00004C9052_9606	Homo sapiens (human) microRNA hsa-miR-133a-3p
RNAcentral:URS000020D84A_9606	URS000020D84A_9606	Homo sapiens (human) microRNA hsa-miR-218-5p
RNAcentral:URS000059273E_9606	URS000059273E_9606	Homo sapiens (human) microRNA hsa-miR-24-3p
RNAcentral:URS00001646B5_9606	URS00001646B5_9606	Homo sapiens (human) microRNA 34a
RNAcentral:URS000024463E_9606	URS000024463E_9606	Homo sapiens (human) microRNA hsa-miR-29b-3p
UniProtKB:Q8NCM2	KCNH5	Potassium voltage-gated channel subfamily H member 5
UniProtKB:Q96A00	PPP1R14A	Protein phosphatase 1 regulatory subunit 14A
UniProtKB:Q96HF1	SFRP2	Secreted frizzled-related protein 2
UniProtKB:Q9UK32	RPS6KA6	Ribosomal protein S6 kinase alpha-6
UniProtKB:P19022	CDH2	Cadherin-2
UniProtKB:P15692	VEGFA	Vascular endothelial growth factor A
UniProtKB:P49768	PSEN1	Presenilin-1
UniProtKB:Q9UBY5	LPAR3	Lysophosphatidic acid receptor 3
UniProtKB:Q9UJU6	DBNL	Drebrin-like protein
UniProtKB:Q9UBW7	ZMYM2	Zinc finger MYM-type protein 2
UniProtKB:P49790	NUP153	Nuclear pore complex protein Nup153
UniProtKB:P49796	RGS3	Regulator of G-protein signaling 3
UniProtKB:Q6P5Z2	PKN3	Serine/threonine-protein kinase N3
UniProtKB:Q9Y297	BTRC	F-box/WD repeat-containing protein 1A
UniProtKB:Q9UBV4	WNT16	Protein Wnt-16
UniProtKB:P27037	ACVR2A	Activin receptor type-2A
UniProtKB:Q9UBU3	GHRL	Appetite-regulating hormone
UniProtKB:Q9H254	SPTBN4	Spectrin beta chain, non-erythrocytic 4
UniProtKB:Q16619	CTF1	Cardiotrophin-1
UniProtKB:Q9Y261	FOXA2	Hepatocyte nuclear factor 3-beta
UniProtKB:Q9UBS0	RPS6KB2	Ribosomal protein S6 kinase beta-2
UniProtKB:Q9Y259	CHKB	Choline/ethanolamine kinase
UniProtKB:Q8NCB2	CAMKV	CaM kinase-like vesicle-associated protein
UniProtKB:Q9Y243	AKT3	RAC-gamma serine/threonine-protein kinase
UniProtKB:Q9Y239	NOD1	Nucleotide-binding oligomerization domain-containing protein 1
UniProtKB:Q16663	CCL15	C-C motif chemokine 15
UniProtKB:Q9Y224	C14orf166	UPF0568 protein C14orf166
UniProtKB:Q9Y223	GNE	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
UniProtKB:O95398	RAPGEF3	Rap guanine nucleotide exchange factor 3
UniProtKB:O95390	GDF11	Growth/differentiation factor 11
UniProtKB:P30559	OXTR	Oxytocin receptor
UniProtKB:O95382	MAP3K6	Mitogen-activated protein kinase kinase kinase 6
UniProtKB:P57740	NUP107	Nuclear pore complex protein Nup107
UniProtKB:O95373	IPO7	Importin-7
UniProtKB:P30542	ADORA1	Adenosine receptor A1
UniProtKB:P30530	AXL	Tyrosine-protein kinase receptor UFO
UniProtKB:P17936	IGFBP3	Insulin-like growth factor-binding protein 3
UniProtKB:O95340	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2
UniProtKB:P05386	RPLP1	60S acidic ribosomal protein P1
UniProtKB:Q14596	NBR1	Next to BRCA1 gene 1 protein
UniProtKB:Q8NC56	LEMD2	LEM domain-containing protein 2
UniProtKB:Q14563	SEMA3A	Semaphorin-3A
UniProtKB:Q8NC42	RNF149	E3 ubiquitin-protein ligase RNF149
UniProtKB:P0DP25	CALM3	Calmodulin-3
UniProtKB:Q9NYJ8	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
UniProtKB:Q9UBD3	XCL2	Cytokine SCM-1 beta
UniProtKB:Q03468	ERCC6	DNA excision repair protein ERCC-6
UniProtKB:Q8TAE8	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1
UniProtKB:Q8TAE6	PPP1R14C	Protein phosphatase 1 regulatory subunit 14C
UniProtKB:O14578	CIT	Citron Rho-interacting kinase
UniProtKB:O14561	NDUFAB1	Acyl carrier protein, mitochondrial
UniProtKB:Q9NX14	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
UniProtKB:Q9NX18	SDHAF2	Succinate dehydrogenase assembly factor 2, mitochondrial
UniProtKB:O14556	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific
UniProtKB:O14548	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial
UniProtKB:O14544	SOCS6	Suppressor of cytokine signaling 6
UniProtKB:O14543	SOCS3	Suppressor of cytokine signaling 3
UniProtKB:P23743	DGKA	Diacylglycerol kinase alpha
UniProtKB:O14521	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial
UniProtKB:Q01813	PFKP	ATP-dependent 6-phosphofructokinase, platelet type
UniProtKB:O14519	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1
UniProtKB:O14512	SOCS7	Suppressor of cytokine signaling 7
UniProtKB:O14511	NRG2	Pro-neuregulin-2, membrane-bound isoform
UniProtKB:O14508	SOCS2	Suppressor of cytokine signaling 2
UniProtKB:Q9NWW6	NMRK1	Nicotinamide riboside kinase 1
UniProtKB:Q9GZU7	CTDSP1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
UniProtKB:Q8N9B8	RASGEF1A	Ras-GEF domain-containing family member 1A
UniProtKB:Q13233	MAP3K1	Mitogen-activated protein kinase kinase kinase 1
UniProtKB:P50053	KHK	Ketohexokinase
UniProtKB:Q9GZX9	TWSG1	Twisted gastrulation protein homolog 1
UniProtKB:Q13255	GRM1	Metabotropic glutamate receptor 1
UniProtKB:P33981	TTK	Dual specificity protein kinase TTK
UniProtKB:Q96RU7	TRIB3	Tribbles homolog 3
UniProtKB:Q13291	SLAMF1	Signaling lymphocytic activation molecule
UniProtKB:Q9BUL8	PDCD10	Programmed cell death protein 10
UniProtKB:Q9P2X3	IMPACT	Protein IMPACT
UniProtKB:Q8N8U9	BMPER	BMP-binding endothelial regulator protein
UniProtKB:Q8N967	LRTM2	Leucine-rich repeat and transmembrane domain-containing protein 2
UniProtKB:A6NHP3	SPDYE2B	Speedy protein E2B
UniProtKB:Q9BV35	SLC25A23	Calcium-binding mitochondrial carrier protein SCaMC-3
UniProtKB:Q02156	PRKCE	Protein kinase C epsilon type
UniProtKB:Q92519	TRIB2	Tribbles homolog 2
UniProtKB:O14495	PLPP3	Phospholipid phosphatase 3
UniProtKB:P35080	PFN2	Profilin-2
UniProtKB:Q9P2K8	EIF2AK4	eIF-2-alpha kinase GCN2
UniProtKB:P35070	BTC	Probetacellulin
UniProtKB:Q9BUZ4	TRAF4	TNF receptor-associated factor 4
UniProtKB:P23677	ITPKA	Inositol-trisphosphate 3-kinase A
UniProtKB:Q8N8J0	PI4KAP1	Putative inactive phosphatidylinositol 4-kinase alpha-like protein P1
UniProtKB:A0A0B4J203	A0A0B4J203	Uncharacterized protein
UniProtKB:P23634	ATP2B4	Plasma membrane calcium-transporting ATPase 4
UniProtKB:Q92585	MAML1	Mastermind-like protein 1
UniProtKB:Q01974	ROR2	Tyrosine-protein kinase transmembrane receptor ROR2
UniProtKB:Q92772	CDKL2	Cyclin-dependent kinase-like 2
UniProtKB:Q13387	MAPK8IP2	C-Jun-amino-terminal kinase-interacting protein 2
UniProtKB:Q6B0I6	KDM4D	Lysine-specific demethylase 4D
UniProtKB:P13385	TDGF1	Teratocarcinoma-derived growth factor 1
UniProtKB:Q9P287	BCCIP	BRCA2 and CDKN1A-interacting protein
UniProtKB:Q9P266	JCAD	Junctional protein associated with coronary artery disease
UniProtKB:P08697	SERPINF2	Alpha-2-antiplasmin
UniProtKB:Q9P1T7	MDFIC	MyoD family inhibitor domain-containing protein
UniProtKB:O00571	DDX3X	ATP-dependent RNA helicase DDX3X
UniProtKB:Q9BW27	NUP85	Nuclear pore complex protein Nup85
UniProtKB:P60174	TPI1	Triosephosphate isomerase
UniProtKB:Q38SD2	LRRK1	Leucine-rich repeat serine/threonine-protein kinase 1
UniProtKB:Q8N7R7	CCNYL1	Cyclin-Y-like protein 1
UniProtKB:Q9P219	CCDC88C	Protein Daple
UniProtKB:P08648	ITGA5	Integrin alpha-5
UniProtKB:Q9P212	PLCE1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1
UniProtKB:P08631	HCK	Tyrosine-protein kinase HCK
UniProtKB:P08620	FGF4	Fibroblast growth factor 4
UniProtKB:Q496M5	PLK5	Inactive serine/threonine-protein kinase PLK5
UniProtKB:Q70IA6	MOB2	MOB kinase activator 2
UniProtKB:Q9NTI7	FAM212B	PAK4-inhibitor INKA2
UniProtKB:Q4G0N4	NADK2	NAD kinase 2, mitochondrial
UniProtKB:O14949	UQCRQ	Cytochrome b-c1 complex subunit 8
UniProtKB:P40205	MYCNOS	N-cym protein
UniProtKB:Q9UPT6	MAPK8IP3	C-Jun-amino-terminal kinase-interacting protein 3
UniProtKB:O14944	EREG	Proepiregulin
UniProtKB:O14936	CASK	Peripheral plasma membrane protein CASK
UniProtKB:Q12891	HYAL2	Hyaluronidase-2
UniProtKB:Q12887	COX10	Protoheme IX farnesyltransferase, mitochondrial
UniProtKB:O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta
UniProtKB:P15056	BRAF	Serine/threonine-protein kinase B-raf
UniProtKB:Q12879	GRIN2A	Glutamate receptor ionotropic, NMDA 2A
UniProtKB:Q12866	MERTK	Tyrosine-protein kinase Mer
UniProtKB:Q12852	MAP3K12	Mitogen-activated protein kinase kinase kinase 12
UniProtKB:Q12851	MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2
UniProtKB:P15018	LIF	Leukemia inhibitory factor
UniProtKB:Q9HC98	NEK6	Serine/threonine-protein kinase Nek6
UniProtKB:Q12837	POU4F2	POU domain, class 4, transcription factor 2
UniProtKB:Q9NSY1	BMP2K	BMP-2-inducible protein kinase
UniProtKB:Q12809	KCNH2	Potassium voltage-gated channel subfamily H member 2
UniProtKB:P09429	HMGB1	High mobility group protein B1
UniProtKB:Q12805	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
UniProtKB:Q12802	AKAP13	A-kinase anchor protein 13
UniProtKB:U3KQK5	U3KQK5	Uncharacterized protein
UniProtKB:A6NLX3	SPDYE4	Speedy protein E4
UniProtKB:G5E9Z4	PI4K2B	Phosphatidylinositol 4-kinase type 2-beta
UniProtKB:P46734	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3
UniProtKB:P04626	ERBB2	Receptor tyrosine-protein kinase erbB-2
UniProtKB:Q96NX5	CAMK1G	Calcium/calmodulin-dependent protein kinase type 1G
UniProtKB:P57105	SYNJ2BP	Synaptojanin-2-binding protein
UniProtKB:P13861	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit
UniProtKB:Q969Z0	TBRG4	Protein TBRG4
UniProtKB:Q9UQF2	MAPK8IP1	C-Jun-amino-terminal kinase-interacting protein 1
UniProtKB:P02788	LTF	Lactotransferrin
UniProtKB:Q969W9	PMEPA1	Protein TMEPAI
UniProtKB:P40189	IL6ST	Interleukin-6 receptor subunit beta
UniProtKB:Q969S3	ZNF622	Zinc finger protein 622
UniProtKB:Q969Q6	PPP2R3C	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
UniProtKB:P40145	ADCY8	Adenylate cyclase type 8
UniProtKB:P16070	CD44	CD44 antigen
UniProtKB:P35443	THBS4	Thrombospondin-4
UniProtKB:Q99075	HBEGF	Proheparin-binding EGF-like growth factor
UniProtKB:Q12792	TWF1	Twinfilin-1
UniProtKB:Q969J5	IL22RA2	Interleukin-22 receptor subunit alpha-2
UniProtKB:O14827	RASGRF2	Ras-specific guanine nucleotide-releasing factor 2
UniProtKB:Q12778	FOXO1	Forkhead box protein O1
UniProtKB:O14818	PSMA7	Proteasome subunit alpha type-7
UniProtKB:Q12774	ARHGEF5	Rho guanine nucleotide exchange factor 5
UniProtKB:Q969H8	MYDGF	Myeloid-derived growth factor
UniProtKB:Q969H0	FBXW7	F-box/WD repeat-containing protein 7
UniProtKB:Q12769	NUP160	Nuclear pore complex protein Nup160
UniProtKB:Q12766	HMGXB3	HMG domain-containing protein 3
UniProtKB:Q969G6	RFK	Riboflavin kinase
UniProtKB:Q969G5	CAVIN3	Caveolae-associated protein 3
UniProtKB:Q969D9	TSLP	Thymic stromal lymphopoietin
UniProtKB:A0A0C5B5G6	MT-RNR1	Mitochondrial-derived peptide MOTS-c
UniProtKB:Q9H999	PANK3	Pantothenate kinase 3
UniProtKB:P57078	RIPK4	Receptor-interacting serine/threonine-protein kinase 4
UniProtKB:P57077	MAP3K7CL	MAP3K7 C-terminal-like protein
UniProtKB:P57059	SIK1	Serine/threonine-protein kinase SIK1
UniProtKB:P57058	HUNK	Hormonally up-regulated neu tumor-associated kinase
UniProtKB:A6NKU9	SPDYE3	Speedy protein E3
UniProtKB:P30405	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
UniProtKB:P25116	F2R	Proteinase-activated receptor 1
UniProtKB:P13725	OSM	Oncostatin-M
UniProtKB:Q8TD19	NEK9	Serine/threonine-protein kinase Nek9
UniProtKB:P60568	IL2	Interleukin-2
UniProtKB:Q9BRS2	RIOK1	Serine/threonine-protein kinase RIO1
UniProtKB:P25106	ACKR3	Atypical chemokine receptor 3
UniProtKB:Q9BRT2	UQCC2	Ubiquinol-cytochrome-c reductase complex assembly factor 2
UniProtKB:O15519	CFLAR	CASP8 and FADD-like apoptosis regulator
UniProtKB:P05198	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1
UniProtKB:O95147	DUSP14	Dual specificity protein phosphatase 14
UniProtKB:O95136	S1PR2	Sphingosine 1-phosphate receptor 2
UniProtKB:Q14397	GCKR	Glucokinase regulatory protein
UniProtKB:P30307	CDC25C	M-phase inducer phosphatase 3
UniProtKB:Q14393	GAS6	Growth arrest-specific protein 6
UniProtKB:P37023	ACVRL1	Serine/threonine-protein kinase receptor R3
UniProtKB:Q9NPH5	NOX4	NADPH oxidase 4
UniProtKB:Q9NPH9	IL26	Interleukin-26
UniProtKB:P05129	PRKCG	Protein kinase C gamma type
UniProtKB:P67775	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
UniProtKB:P05113	IL5	Interleukin-5
UniProtKB:P05112	IL4	Interleukin-4
UniProtKB:P05111	INHA	Inhibin alpha chain
UniProtKB:Q96KB5	PBK	Lymphokine-activated killer T-cell-originated protein kinase
UniProtKB:P05107	ITGB2	Integrin beta-2
UniProtKB:P07919	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial
UniProtKB:Q14318	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8
UniProtKB:Q9BX84	TRPM6	Transient receptor potential cation channel subfamily M member 6
UniProtKB:Q6MZQ0	PRR5L	Proline-rich protein 5-like
UniProtKB:Q9UN36	NDRG2	Protein NDRG2
UniProtKB:P15391	CD19	B-lymphocyte antigen CD19
UniProtKB:P12645	BMP3	Bone morphogenetic protein 3
UniProtKB:P62195	PSMC5	26S proteasome regulatory subunit 8
UniProtKB:Q9NQ66	PLCB1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
UniProtKB:P62191	PSMC1	26S proteasome regulatory subunit 4
UniProtKB:P03950	ANG	Angiogenin
UniProtKB:P54753	EPHB3	Ephrin type-B receptor 3
UniProtKB:P05067	APP	Amyloid-beta A4 protein
UniProtKB:Q8NI60	COQ8A	Atypical kinase COQ8A, mitochondrial
UniProtKB:P15311	EZR	Ezrin
UniProtKB:P03923	MT-ND6	NADH-ubiquinone oxidoreductase chain 6
UniProtKB:P03915	MT-ND5	NADH-ubiquinone oxidoreductase chain 5
UniProtKB:P30291	WEE1	Wee1-like protein kinase
UniProtKB:P50750	CDK9	Cyclin-dependent kinase 9
UniProtKB:P03905	MT-ND4	NADH-ubiquinone oxidoreductase chain 4
UniProtKB:P03901	MT-ND4L	NADH-ubiquinone oxidoreductase chain 4L
UniProtKB:Q96L34	MARK4	MAP/microtubule affinity-regulating kinase 4
UniProtKB:P30281	CCND3	G1/S-specific cyclin-D3
UniProtKB:P30279	CCND2	G1/S-specific cyclin-D2
UniProtKB:Q96L42	KCNH8	Potassium voltage-gated channel subfamily H member 8
UniProtKB:Q9P289	STK26	Serine/threonine-protein kinase 26
UniProtKB:Q9NZV1	CRIM1	Cysteine-rich motor neuron 1 protein
UniProtKB:O95067	CCNB2	G2/mitotic-specific cyclin-B2
UniProtKB:Q6SA08	TSSK4	Testis-specific serine/threonine-protein kinase 4
UniProtKB:Q6P2M8	PNCK	Calcium/calmodulin-dependent protein kinase type 1B
UniProtKB:Q9UNE0	EDAR	Tumor necrosis factor receptor superfamily member EDAR
UniProtKB:Q14296	FASTK	Fas-activated serine/threonine kinase
UniProtKB:Q9C004	SPRY4	Protein sprouty homolog 4
UniProtKB:Q14289	PTK2B	Protein-tyrosine kinase 2-beta
UniProtKB:P60983	GMFB	Glia maturation factor beta
UniProtKB:Q9C035	TRIM5	Tripartite motif-containing protein 5
UniProtKB:Q6P2H3	CEP85	Centrosomal protein of 85 kDa
UniProtKB:Q460N5	PARP14	Poly [ADP-ribose] polymerase 14
UniProtKB:Q02846	GUCY2D	Retinal guanylyl cyclase 1
UniProtKB:P05019	IGF1	Insulin-like growth factor I
UniProtKB:P05015	IFNA16	Interferon alpha-16
UniProtKB:P05014	IFNA4	Interferon alpha-4
UniProtKB:P05013	IFNA6	Interferon alpha-6
UniProtKB:P05000	IFNW1	Interferon omega-1
UniProtKB:P60900	PSMA6	Proteasome subunit alpha type-6
UniProtKB:P03897	MT-ND3	NADH-ubiquinone oxidoreductase chain 3
UniProtKB:P03891	MT-ND2	NADH-ubiquinone oxidoreductase chain 2
UniProtKB:P03886	MT-ND1	NADH-ubiquinone oxidoreductase chain 1
UniProtKB:A2A3N6	PIPSL	Putative PIP5K1A and PSMD4-like protein
UniProtKB:Q9NR48	ASH1L	Histone-lysine N-methyltransferase ASH1L
UniProtKB:P15259	PGAM2	Phosphoglycerate mutase 2
UniProtKB:Q9C0C4	SEMA4C	Semaphorin-4C
UniProtKB:Q9C0C7	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1
UniProtKB:Q9BXN1	ASPN	Asporin
UniProtKB:Q96M32	AK7	Adenylate kinase 7
UniProtKB:P45985	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4
UniProtKB:P45984	MAPK9	Mitogen-activated protein kinase 9
UniProtKB:P45983	MAPK8	Mitogen-activated protein kinase 8
UniProtKB:Q9C0H9	SRCIN1	SRC kinase signaling inhibitor 1
UniProtKB:Q14118	DAG1	Dystroglycan
UniProtKB:A6NNW6	ENO4	Enolase 4
UniProtKB:P30153	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
UniProtKB:P50613	CDK7	Cyclin-dependent kinase 7
UniProtKB:A6NNV3	SPDYE16	Putative speedy protein E16
UniProtKB:Q562E7	WDR81	WD repeat-containing protein 81
UniProtKB:Q9NRA0	SPHK2	Sphingosine kinase 2
UniProtKB:P60891	PRPS1	Ribose-phosphate pyrophosphokinase 1
UniProtKB:Q14168	MPP2	MAGUK p55 subfamily member 2
UniProtKB:Q14160	SCRIB	Protein scribble homolog
UniProtKB:Q9NRG9	AAAS	Aladin
UniProtKB:Q9BXU1	STK31	Serine/threonine-protein kinase 31
UniProtKB:Q14156	EFR3A	Protein EFR3 homolog A
UniProtKB:Q14152	EIF3A	Eukaryotic translation initiation factor 3 subunit A
UniProtKB:Q02763	TEK	Angiopoietin-1 receptor
UniProtKB:Q14149	MORC3	MORC family CW-type zinc finger protein 3
UniProtKB:O60883	GPR37L1	Prosaposin receptor GPR37L1
UniProtKB:Q02750	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1
UniProtKB:P05106	ITGB3	Integrin beta-3
UniProtKB:Q14116	IL18	Interleukin-18
UniProtKB:Q14114	LRP8	Low-density lipoprotein receptor-related protein 8
UniProtKB:Q5EBM0	CMPK2	UMP-CMP kinase 2, mitochondrial
UniProtKB:Q9UP38	FZD1	Frizzled-1
UniProtKB:Q9NRP7	STK36	Serine/threonine-protein kinase 36
UniProtKB:Q92530	PSMF1	Proteasome inhibitor PI31 subunit
UniProtKB:P35658	NUP214	Nuclear pore complex protein Nup214
UniProtKB:P40306	PSMB10	Proteasome subunit beta type-10
UniProtKB:P15173	MYOG	Myogenin
UniProtKB:P15172	MYOD1	Myoblast determination protein 1
UniProtKB:P35626	GRK3	Beta-adrenergic receptor kinase 2
UniProtKB:P35625	TIMP3	Metalloproteinase inhibitor 3
UniProtKB:P15153	RAC2	Ras-related C3 botulinum toxin substrate 2
UniProtKB:Q9NS68	TNFRSF19	Tumor necrosis factor receptor superfamily member 19
UniProtKB:P35609	ACTN2	Alpha-actinin-2
UniProtKB:Q12959	DLG1	Disks large homolog 1
UniProtKB:Q9NRW4	DUSP22	Dual specificity protein phosphatase 22
UniProtKB:Q12933	TRAF2	TNF receptor-associated factor 2
UniProtKB:Q9H792	PEAK1	Pseudopodium-enriched atypical kinase 1
UniProtKB:Q12913	PTPRJ	Receptor-type tyrosine-protein phosphatase eta
UniProtKB:P30086	PEBP1	Phosphatidylethanolamine-binding protein 1
UniProtKB:Q12906	ILF3	Interleukin enhancer-binding factor 3
UniProtKB:A0A0B4J2F2	LOC102724428	SNF1-like kinase, isoform CRA_a
